Mês,Tema,Data,Local
Março,"Hidratação no Ambiente de Trabalho: Desempenho, Saúde e Bem-estar na Indústria de Bebidas",15/03/2025,Auditório Principal - Fábrica de Luanda
Abril,"Ergonomia e Prevenção de Lesões: Movimentando-se com Segurança na Indústria",12/04/2025,Sala de Formação - Fábrica de Luanda
Maio,"Saúde Mental no Trabalho: Construindo Ambientes Resilientes e Produtivos",17/05/2025,Auditório Principal - Fábrica de Luanda
Junho,"Alimentação Saudável em Turnos: Nutrição para Energia e Bem-estar Contínuo",14/06/2025,Refeitório - Fábrica de Luanda
Julho,"Consumo Responsável de Álcool: Promovendo Escolhas Conscientes e Equilíbrio",19/07/2025,Auditório Principal - Fábrica de Luanda
Agosto,"Doenças Infecciosas Comuns em Angola: Prevenção, Identificação e Tratamento",16/08/2025,Sala de Formação - Fábrica de Luanda
Setembro,"Saúde Reprodutiva e Familiar: Planeamento, Cuidados e Decisões Informadas",13/09/2025,Auditório Principal - Fábrica de Luanda
Outubro,"Prevenção e Controlo de Doenças Crónicas: Diabetes, Hipertensão e Doenças Cardiovasculares",18/10/2025,Sala de Formação - Fábrica de Luanda
Novembro,"Saúde Financeira: Estratégias para Planeamento, Poupança e Bem-estar Económico",15/11/2025,Auditório Principal - Fábrica de Luanda
Dezembro,"Equilíbrio Trabalho-Família: Construindo Relações Saudáveis e Celebrando Festividades com Responsabilidade",13/12/2025,Espaço Recreativo - Fábrica de Luanda
