nome,ddd,telefone,remotejid
Banco do Brasil,61,40040001,556140040001@s.whatsapp.net
Samsung,11,40040000,551140040000@s.whatsapp.net
Claro,11,978175214,5511978175214@s.whatsapp.net
NET,11,999910621,5511999910621@s.whatsapp.net
Tim,41,41414141,554141414141@s.whatsapp.net
Oi (Atendimento IA),31,31313131,553131313131@s.whatsapp.net
Oi (Atendimento Convencional),,8002504141,558002504141@s.whatsapp.net
Vivo,11,999151515,5511999151515@s.whatsapp.net
Globoplay,21,998212619,5521998212619@s.whatsapp.net
Caixa Econômica Federal,,8001040104,558001040104@s.whatsapp.net
Bradesco Seguros,21,40042702,552140042702@s.whatsapp.net
,,,
